Image_Name,sample_name,loaction_in_img,original_img_name,resolution_v_of_orignal_image,resolution_h_of_orignal_image,magnification,encoding
JSC100_00_271_2048_500_.tif ,271,00,JSC100,2048,2048,500,4
JSC100_01_271_2048_500_.tif ,271,01,JSC100,2048,2048,500,4
JSC100_02_271_2048_500_.tif ,271,02,JSC100,2048,2048,500,4
JSC100_03_271_2048_500_.tif ,271,03,JSC100,2048,2048,500,4
JSC100_04_271_2048_500_.tif ,271,04,JSC100,2048,2048,500,4
JSC100_05_271_2048_500_.tif ,271,05,JSC100,2048,2048,500,4
JSC100_06_271_2048_500_.tif ,271,06,JSC100,2048,2048,500,4
JSC100_07_271_2048_500_.tif ,271,07,JSC100,2048,2048,500,4
JSC100_10_271_2048_500_.tif ,271,10,JSC100,2048,2048,500,4
JSC100_11_271_2048_500_.tif ,271,11,JSC100,2048,2048,500,4
JSC100_12_271_2048_500_.tif ,271,12,JSC100,2048,2048,500,4
JSC100_13_271_2048_500_.tif ,271,13,JSC100,2048,2048,500,4
JSC100_14_271_2048_500_.tif ,271,14,JSC100,2048,2048,500,4
JSC100_15_271_2048_500_.tif ,271,15,JSC100,2048,2048,500,4
JSC100_16_271_2048_500_.tif ,271,16,JSC100,2048,2048,500,4
JSC100_17_271_2048_500_.tif ,271,17,JSC100,2048,2048,500,4
JSC100_20_271_2048_500_.tif ,271,20,JSC100,2048,2048,500,4
JSC100_21_271_2048_500_.tif ,271,21,JSC100,2048,2048,500,4
JSC100_22_271_2048_500_.tif ,271,22,JSC100,2048,2048,500,4
JSC100_23_271_2048_500_.tif ,271,23,JSC100,2048,2048,500,4
JSC100_24_271_2048_500_.tif ,271,24,JSC100,2048,2048,500,4
JSC100_25_271_2048_500_.tif ,271,25,JSC100,2048,2048,500,4
JSC100_26_271_2048_500_.tif ,271,26,JSC100,2048,2048,500,4
JSC100_27_271_2048_500_.tif ,271,27,JSC100,2048,2048,500,4
JSC100_30_271_2048_500_.tif ,271,30,JSC100,2048,2048,500,4
JSC100_31_271_2048_500_.tif ,271,31,JSC100,2048,2048,500,4
JSC100_32_271_2048_500_.tif ,271,32,JSC100,2048,2048,500,4
JSC100_33_271_2048_500_.tif ,271,33,JSC100,2048,2048,500,4
JSC100_34_271_2048_500_.tif ,271,34,JSC100,2048,2048,500,4
JSC100_35_271_2048_500_.tif ,271,35,JSC100,2048,2048,500,4
JSC100_36_271_2048_500_.tif ,271,36,JSC100,2048,2048,500,4
JSC100_37_271_2048_500_.tif ,271,37,JSC100,2048,2048,500,4
JSC100_40_271_2048_500_.tif ,271,40,JSC100,2048,2048,500,4
JSC100_41_271_2048_500_.tif ,271,41,JSC100,2048,2048,500,4
JSC100_42_271_2048_500_.tif ,271,42,JSC100,2048,2048,500,4
JSC100_43_271_2048_500_.tif ,271,43,JSC100,2048,2048,500,4
JSC100_44_271_2048_500_.tif ,271,44,JSC100,2048,2048,500,4
JSC100_45_271_2048_500_.tif ,271,45,JSC100,2048,2048,500,4
JSC100_46_271_2048_500_.tif ,271,46,JSC100,2048,2048,500,4
JSC100_47_271_2048_500_.tif ,271,47,JSC100,2048,2048,500,4
JSC100_50_271_2048_500_.tif ,271,50,JSC100,2048,2048,500,4
JSC100_51_271_2048_500_.tif ,271,51,JSC100,2048,2048,500,4
